country_region,iso3,who_region
Afghanistan,AFG,Eastern Mediterranean (WHO)
Albania,ALB,Europe (WHO)
Algeria,DZA,Africa (WHO)
American Samoa,ASM,Western Pacific (WHO)
Andorra,AND,Europe (WHO)
Angola,AGO,Africa (WHO)
Anguilla,AIA,Americas (WHO)
Antigua and Barbuda,ATG,Americas (WHO)
Argentina,ARG,Americas (WHO)
Armenia,ARM,Europe (WHO)
Australia,AUS,Western Pacific (WHO)
Austria,AUT,Europe (WHO)
Azerbaijan,AZE,Europe (WHO)
Bahamas,BHS,Americas (WHO)
Bahrain,BHR,Eastern Mediterranean (WHO)
Bangladesh,BGD,South-East Asia (WHO)
Barbados,BRB,Americas (WHO)
Belarus,BLR,Europe (WHO)
Belgium,BEL,Europe (WHO)
Belize,BLZ,Americas (WHO)
Benin,BEN,Africa (WHO)
Bhutan,BTN,South-East Asia (WHO)
Bolivia,BOL,Americas (WHO)
Bosnia and Herzegovina,BIH,Europe (WHO)
Botswana,BWA,Africa (WHO)
Brazil,BRA,Americas (WHO)
Brunei,BRN,Western Pacific (WHO)
Bulgaria,BGR,Europe (WHO)
Burkina Faso,BFA,Africa (WHO)
Burundi,BDI,Africa (WHO)
Cambodia,KHM,Western Pacific (WHO)
Cameroon,CMR,Africa (WHO)
Canada,CAN,Americas (WHO)
Cape Verde,CPV,Africa (WHO)
Cayman Islands,CYM,Americas (WHO)
Central African Republic,CAF,Africa (WHO)
Chad,TCD,Africa (WHO)
Chile,CHL,Americas (WHO)
China,CHN,Western Pacific (WHO)
Colombia,COL,Americas (WHO)
Comoros,COM,Africa (WHO)
Congo,COG,Africa (WHO)
Cook Islands,COK,Western Pacific (WHO)
Costa Rica,CRI,Americas (WHO)
Cote d'Ivoire,CIV,Africa (WHO)
Croatia,HRV,Europe (WHO)
Cuba,CUB,Americas (WHO)
Cyprus,CYP,Europe (WHO)
Czechia,CZE,Europe (WHO)
Democratic Republic of Congo,COD,Africa (WHO)
Denmark,DNK,Europe (WHO)
Djibouti,DJI,Eastern Mediterranean (WHO)
Dominica,DMA,Americas (WHO)
Dominican Republic,DOM,Americas (WHO)
East Timor,TLS,South-East Asia (WHO)
Ecuador,ECU,Americas (WHO)
Egypt,EGY,Eastern Mediterranean (WHO)
El Salvador,SLV,Americas (WHO)
