iso3,city,province_state,country_region,latitude,longitude,combined_key,population,who_region
AFG,,,Afghanistan,33.93911,67.709953,Afghanistan,38928341,Eastern Mediterranean
ALB,,,Albania,41.1533,20.1683,Albania,2877800,Europe
DZA,,,Algeria,28.0339,1.6596,Algeria,43851043,Africa
AND,,,Andorra,42.5063,1.5218,Andorra,77265,Europe
AGO,,,Angola,-11.2027,17.8739,Angola,32866268,Africa
ATG,,,Antigua and Barbuda,17.0608,-61.7964,Antigua and Barbuda,97928,Americas
ARG,,,Argentina,-38.4161,-63.6167,Argentina,45195777,Americas
ARM,,,Armenia,40.0691,45.0382,Armenia,2963234,Europe
AUT,,,Austria,47.5162,14.5501,Austria,9006400,Europe
AZE,,,Azerbaijan,40.1431,47.5769,Azerbaijan,10139175,Europe
BHS,,,Bahamas,25.025885,-78.035889,Bahamas,393248,Americas
BHR,,,Bahrain,26.0275,50.55,Bahrain,1701583,Eastern Mediterranean
BGD,,,Bangladesh,23.685,90.3563,Bangladesh,164689383,South-East Asia
BRB,,,Barbados,13.1939,-59.5432,Barbados,287371,Americas
BLR,,,Belarus,53.7098,27.9534,Belarus,9449321,Europe
BEL,,,Belgium,50.8333,4.469936,Belgium,11492641,Europe
BEL,,Antwerp,Belgium,51.2195,4.4024,"Antwerp, Belgium",1869730,Europe
BEL,,Brussels,Belgium,50.8503,4.3517,"Brussels, Belgium",1218255,Europe
BEL,,East Flanders,Belgium,51.0362,3.7373,"East Flanders, Belgium",1525255,Europe
BEL,,Flemish Brabant,Belgium,50.9167,4.5833,"Flemish Brabant, Belgium",1155843,Europe
BEL,,Hainaut,Belgium,50.5257,4.0621,"Hainaut, Belgium",1346840,Europe
BEL,,Liege,Belgium,50.4496,5.8492,"Liege, Belgium",1109800,Europe
BEL,,Limburg,Belgium,50.9739,5.342,"Limburg, Belgium",877370,Europe
BEL,,Luxembourg,Belgium,50.0547,5.4677,"Luxembourg, Belgium",286752,Europe
BEL,,Namur,Belgium,50.331,4.8221,"Namur, Belgium",495832,Europe
BEL,,Walloon Brabant,Belgium,50.4,4.35,"Walloon Brabant, Belgium",406019,Europe
BEL,,West Flanders,Belgium,51.0536,3.1458,"West Flanders, Belgium",1200945,Europe
BLZ,,,Belize,17.1899,-88.4976,Belize,397621,Americas
BEN,,,Benin,9.3077,2.3158,Benin,12123198,Africa
BTN,,,Bhutan,27.5142,90.4336,Bhutan,771612,South-East Asia
BOL,,,Bolivia,-16.2902,-63.5887,Bolivia,11673029,Americas
BIH,,,Bosnia and Herzegovina,43.9159,17.6791,Bosnia and Herzegovina,3280815,Europe
BWA,,,Botswana,-22.3285,24.6849,Botswana,2351625,Africa
BRA,,,Brazil,-14.235,-51.9253,Brazil,212559409,Americas
BRA,,Acre,Brazil,-9.0238,-70.812,"Acre, Brazil",881935,Americas
BRA,,Alagoas,Brazil,-9.5713,-36.782,"Alagoas, Brazil",3337357,Americas
BRA,,Amapa,Brazil,0.902,-52.003,"Amapa, Brazil",845731,Americas
BRA,,Amazonas,Brazil,-3.4168,-65.8561,"Amazonas, Brazil",4144597,Americas
BRA,,Bahia,Brazil,-12.5797,-41.7007,"Bahia, Brazil",14873064,Americas
